,Country,Sector,Industry,Length_of_Business_Summary,Currency
KLG,United States,Consumer Defensive,Packaged Foods,469,USD
CATB,,,,0,
OESX,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1724,USD
PCVX,United States,Healthcare,Biotechnology,844,USD
VIEW,United States,Industrials,Building Products & Equipment,1843,USD
POAI,United States,Healthcare,Medical Instruments & Supplies,987,USD
SWTX,United States,Healthcare,Biotechnology,1828,USD
DERM,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1505,USD
LYV,United States,Communication Services,Entertainment,1918,USD
TERP,,,,0,
RVMD,United States,Healthcare,Biotechnology,950,USD
HSTO,United States,Healthcare,Biotechnology,815,USD
HQCL,,,,0,
HLI,United States,Financial Services,Capital Markets,1731,USD
PG,United States,Consumer Defensive,Household & Personal Products,1950,USD
IRMD,United States,Healthcare,Medical Devices,972,USD
IX,Japan,Financial Services,Financial Conglomerates,1880,USD
IMMY,,,,0,
PSDO,,,,0,
OPBK,United States,Financial Services,Banks—Regional,1509,USD
COIN,United States,Financial Services,Financial Data & Stock Exchanges,520,USD
SNAP,United States,Communication Services,Internet Content & Information,777,USD
FLNC,United States,Utilities,Utilities—Renewable,1211,USD
UAL,United States,Industrials,Airlines,603,USD
ONCS,,,,0,
NFX,,,,0,
COTV,,,,0,
ADMS,,,,0,
SNV,United States,Financial Services,Banks—Regional,1254,USD
AMED,United States,Healthcare,Medical Care Facilities,1021,USD
TT,Ireland,Industrials,Building Products & Equipment,1803,USD
ARII,,,,0,
AEM,Canada,Basic Materials,Gold,412,USD
KAMN,,,,0,
MNSB,United States,Financial Services,Banks—Regional,1298,USD
CQH,,,,0,
SKYT,United States,Technology,Semiconductors,710,USD
TNYA,United States,Healthcare,Biotechnology,951,USD
SKE,Canada,Basic Materials,Other Industrial Metals & Mining,709,USD
EXK,Canada,Basic Materials,Other Precious Metals & Mining,481,USD
CIAN,,,,0,
LX,China,Financial Services,Credit Services,1157,USD
WDAY,United States,Technology,Software—Application,1990,USD
FOX,United States,Communication Services,Entertainment,1205,USD
FMBI,,,,0,
CRDF,United States,Healthcare,Biotechnology,761,USD
LYRA,United States,Healthcare,Biotechnology,1033,USD
EGL,,,,0,
AMOT,,,,0,
PXD,,,,0,
BYON,United States,Consumer Cyclical,Internet Retail,1206,USD
FINW,United States,Financial Services,Banks—Regional,907,USD
MXWL,,,,0,
CBSH,United States,Financial Services,Banks—Regional,1634,USD
CIA,United States,Financial Services,Insurance—Life,829,USD
AYLA,,,,0,
EARN,United States,Financial Services,Asset Management,821,USD
AVAH,United States,Healthcare,Medical Care Facilities,1491,USD
CDTI,United States,Consumer Cyclical,Auto Parts,681,USD
QK,,,,0,
LAZY,United States,Consumer Cyclical,Auto & Truck Dealerships,421,USD
MLTX,Switzerland,Healthcare,Biotechnology,388,USD
SCHN,,,,0,
ACY,,,,0,
BLU,,,,0,
EG,Bermuda,Financial Services,Insurance—Reinsurance,1436,USD
ADNT,Ireland,Consumer Cyclical,Auto Parts,531,USD
FEYE,,,,0,
MULE,,,,0,
NTRB,United States,Healthcare,Biotechnology,544,USD
AXON,United States,Industrials,Aerospace & Defense,1586,USD
TA,,,,0,
BN,Canada,Financial Services,Asset Management,2029,USD
AVDX,United States,Technology,Software—Infrastructure,1047,USD
SFST,United States,Financial Services,Banks—Regional,1137,USD
NWE,United States,Utilities,Utilities—Regulated Electric,1229,USD
ACR,United States,Real Estate,REIT—Mortgage,984,USD
NBTB,United States,Financial Services,Banks—Regional,1544,USD
BWAY,Israel,Healthcare,Medical Devices,681,USD
TXN,United States,Technology,Semiconductors,1567,USD
ABAX,,,,0,
VICL,,,,0,
SIGM,,,,0,
DHC,United States,Real Estate,REIT—Healthcare Facilities,938,USD
GSL,Greece,Industrials,Rental & Leasing Services,419,USD
ADTN,United States,Technology,Communication Equipment,1126,USD
BRCD,,,,0,
SKIS,,,,0,
HMST,United States,Financial Services,Banks—Regional,994,USD
SNSE,United States,Healthcare,Biotechnology,1025,USD
WAFD,United States,Financial Services,Banks—Regional,1108,USD
HCKT,United States,Technology,Information Technology Services,1989,USD
MNDT,,,,0,
CHDN,United States,Consumer Cyclical,Gambling,903,USD
SSL,South Africa,Basic Materials,Specialty Chemicals,1996,USD
SGLB,,,,0,
CLS,Canada,Technology,Electronic Components,1347,USD
MGIC,Israel,Technology,Information Technology Services,2000,USD
GSM,United Kingdom,Basic Materials,Other Industrial Metals & Mining,1938,USD
HFBC,,,,0,
REE,Israel,Consumer Cyclical,Recreational Vehicles,1171,USD
AMRN,Ireland,Healthcare,Drug Manufacturers—General,906,USD
RRR,United States,Consumer Cyclical,Resorts & Casinos,501,USD
IPSC,United States,Healthcare,Biotechnology,1103,USD
BRK.B,,,,0,
DLNG,Greece,Energy,Oil & Gas Midstream,462,USD
THFF,United States,Financial Services,Banks—Regional,635,USD
HSON,United States,Industrials,Staffing & Employment Services,718,USD
PHAT,United States,Healthcare,Biotechnology,588,USD
PGRU,Singapore,Communication Services,Internet Content & Information,692,USD
SOL,United States,Technology,Solar,797,USD
LSPD,Canada,Technology,Software—Application,1838,USD
RLJ,United States,Real Estate,REIT—Hotel & Motel,389,USD
CLVT,United Kingdom,Technology,Information Technology Services,1849,USD
AMPE,United States,Healthcare,Biotechnology,323,USD
RLH,,,,0,
FVRR,Israel,Communication Services,Internet Content & Information,1327,USD
LOW,United States,Consumer Cyclical,Home Improvement Retail,962,USD
FATH,United States,Industrials,Conglomerates,569,USD
DSP,United States,Technology,Software—Application,1724,USD
CALA,United States,Healthcare,Biotechnology,314,USD
RLAY,United States,Healthcare,Biotechnology,1498,USD
PSTI,,,,0,
KDP,United States,Consumer Defensive,Beverages—Non-Alcoholic,1310,USD
CPIX,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1636,USD
COCO,United States,Consumer Defensive,Beverages—Non-Alcoholic,782,USD
XRAY,United States,Healthcare,Medical Instruments & Supplies,1999,USD
ULCC,United States,Industrials,Airlines,431,USD
SITO,,,,0,
BHG,,,,0,
SILK,United States,Healthcare,Medical Devices,886,USD
MTB,United States,Financial Services,Banks—Regional,1619,USD
ROK,United States,Industrials,Specialty Industrial Machinery,1525,USD
SBTX,,,,0,
BKSY,United States,Technology,Scientific & Technical Instruments,1528,USD
FSB,,,,0,
ICPT,,,,0,
AUPH,Canada,Healthcare,Biotechnology,444,USD
WPG,,,,0,
OEC,Luxembourg,Basic Materials,Specialty Chemicals,1019,USD
CPA,Panama,Industrials,Airlines,540,USD
SVRA,United States,Healthcare,Biotechnology,368,USD
NPTN,,,,0,
FOA,United States,Financial Services,Credit Services,703,USD
GD,United States,Industrials,Aerospace & Defense,1783,USD
VNT,United States,Technology,Scientific & Technical Instruments,1539,USD
WBS,United States,Financial Services,Banks—Regional,1878,USD
ACVA,United States,Consumer Cyclical,Auto & Truck Dealerships,1895,USD
SHI,,,,0,
TWO,United States,Real Estate,REIT—Mortgage,768,USD
NTR,Canada,Basic Materials,Agricultural Inputs,713,USD
LPTH,United States,Technology,Electronic Components,789,USD
AFCG,United States,Real Estate,REIT—Specialty,713,USD
GWW,United States,Industrials,Industrial Distribution,866,USD
CRCT,United States,Technology,Computer Hardware,1843,USD
BIOR,United States,Healthcare,Biotechnology,726,USD
EXPE,United States,Consumer Cyclical,Travel Services,1487,USD
PTCT,United States,Healthcare,Biotechnology,1239,USD
GWR,,,,0,
CRR,,,,0,
PHI,Philippines,Communication Services,Telecom Services,1786,USD
CTRA,United States,Energy,Oil & Gas E&P,904,USD
INVO,United States,Healthcare,Medical Devices,362,USD
PSTL,United States,Real Estate,REIT—Office,779,USD
INBX,United States,Healthcare,Biotechnology,810,USD
IBTX,United States,Financial Services,Banks—Regional,1238,USD
TSM,Taiwan,Technology,Semiconductors,972,USD
RNAC,United States,Healthcare,Biotechnology,711,USD
CPK,United States,Utilities,Utilities—Regulated Gas,1221,USD
AKCA,,,,0,
MSL,,,,0,
GETR,United States,Technology,Software—Application,487,USD
CNDT,United States,Technology,Information Technology Services,1434,USD
BRDS,,,,0,
PBF,United States,Energy,Oil & Gas Refining & Marketing,830,USD
EPE,,,,0,
VVC,,,,0,
IMNM,United States,Healthcare,Biotechnology,581,USD
DDR,,,,0,
TRN,United States,Industrials,Railroads,1254,USD
RAS,,,,0,
WSTL,United States,Technology,Communication Equipment,1284,USD
PLYA,Netherlands,Consumer Cyclical,Resorts & Casinos,906,USD
IRON,United States,Healthcare,Biotechnology,1073,USD
RVSB,United States,Financial Services,Banks—Regional,1231,USD
CETX,United States,Technology,Software—Infrastructure,1225,USD
PCT,United States,Industrials,Pollution & Treatment Controls,547,USD
JJSF,United States,Consumer Defensive,Packaged Foods,1770,USD
EBIX,,,,0,
QTWO,United States,Technology,Software—Application,1857,USD
IPHS,,,,0,
WKEY,Switzerland,Technology,Semiconductors,1265,USD
BLND,United States,Technology,Software—Application,1613,USD
AINC,United States,Financial Services,Asset Management,326,USD
GS,United States,Financial Services,Capital Markets,1723,USD
SNPS,United States,Technology,Software—Infrastructure,1991,USD
TEGP,,,,0,
ICE,United States,Financial Services,Financial Data & Stock Exchanges,1597,USD
PEAK,,,,0,
GES,United States,Consumer Cyclical,Apparel Retail,1222,USD
DBD,United States,Technology,Software—Application,1833,USD
KPRX,United States,Healthcare,Biotechnology,1327,USD
HZO,United States,Consumer Cyclical,Specialty Retail,1749,USD
FTAI,United States,Industrials,Rental & Leasing Services,770,USD
CHE,United States,Healthcare,Medical Care Facilities,561,USD
DRVN,United States,Consumer Cyclical,Auto & Truck Dealerships,1069,USD
MTLS,Belgium,Technology,Software—Application,1877,USD
MAIA,United States,Healthcare,Biotechnology,482,USD
ISUN,United States,Technology,Solar,762,USD
PF,,,,0,
VLRX,,,,0,
BXP,United States,Real Estate,REIT—Office,1592,USD
SD,United States,Energy,Oil & Gas E&P,245,USD
AAOI,United States,Technology,Communication Equipment,639,USD
DHX,United States,Technology,Software—Application,1505,USD
FMS,Germany,Healthcare,Medical Care Facilities,1622,USD
VRSN,United States,Technology,Software—Infrastructure,692,USD
PPSI,United States,Industrials,Electrical Equipment & Parts,984,USD
VGZ,United States,Basic Materials,Gold,323,USD
LEJU,,,,0,
UBSI,United States,Financial Services,Banks—Regional,1397,USD
YSG,China,Consumer Defensive,Household & Personal Products,804,USD
NOA,Canada,Energy,Oil & Gas Equipment & Services,1252,USD
VRCA,United States,Healthcare,Biotechnology,1318,USD
OHI,United States,Real Estate,REIT—Healthcare Facilities,322,USD
CERS,United States,Healthcare,Medical Devices,1265,USD
AIZ,United States,Financial Services,Insurance—Specialty,956,USD
RTX,United States,Industrials,Aerospace & Defense,1654,USD
EGI,,,,0,
HSC,,,,0,
DLHC,United States,Industrials,Specialty Business Services,1583,USD
NCDL,,,,0,USD
SBS,Brazil,Utilities,Utilities—Regulated Water,555,USD
USAS,Canada,Basic Materials,Other Industrial Metals & Mining,484,USD
BSBK,United States,Financial Services,Banks—Regional,912,USD
OCX,United States,Healthcare,Diagnostics & Research,964,USD
KARO,Singapore,Technology,Software—Application,1962,USD
LEVL,,,,0,
EXAI,United Kingdom,Healthcare,Biotechnology,1086,USD
FOXA,United States,Communication Services,Entertainment,1205,USD
SRG,United States,Real Estate,Real Estate Services,851,USD
GHM,United States,Industrials,Specialty Industrial Machinery,1624,USD
BRO,United States,Financial Services,Insurance Brokers,1600,USD
CENX,United States,Basic Materials,Aluminum,380,USD
WIN,,,,0,
LWAY,United States,Consumer Defensive,Packaged Foods,711,USD
TOST,United States,Technology,Software—Infrastructure,1398,USD
CALB,United States,Financial Services,Banks—Regional,1104,USD
JASO,,,,0,
NBY,United States,Healthcare,Biotechnology,1091,USD
SYX,,,,0,
TEUM,,,,0,
SSKN,United States,Healthcare,Medical Devices,901,USD
PSBD,,,,0,USD
AZO,United States,Consumer Cyclical,Specialty Retail,1812,USD
WR,,,,0,
AAV,,,,0,
ROG,United States,Technology,Electronic Components,1782,USD
YTEN,United States,Basic Materials,Agricultural Inputs,671,USD
KGC,Canada,Basic Materials,Gold,758,USD
GNSS,United States,Technology,Scientific & Technical Instruments,1559,USD
GLDG,Canada,Basic Materials,Gold,720,USD
SHPW,United States,Industrials,Specialty Industrial Machinery,1554,USD
CUTR,United States,Healthcare,Medical Devices,1835,USD
MMP,,,,0,
LSCC,United States,Technology,Semiconductors,917,USD
UPH,,,,0,
WEC,United States,Utilities,Utilities—Regulated Electric,1411,USD
VERX,United States,Technology,Software—Application,1036,USD
BL,United States,Technology,Software—Application,1923,USD
AFYA,Brazil,Consumer Defensive,Education & Training Services,1907,USD
FEDU,China,Consumer Defensive,Education & Training Services,379,USD
SRLP,,,,0,
EXN,,,,0,
TEP,,,,0,
MAG,Canada,Basic Materials,Silver,327,USD
PSFE,United Kingdom,Technology,Software—Infrastructure,1566,USD
GVP,United States,Technology,Software—Application,1681,USD
CEPU,Argentina,Utilities,Utilities—Regulated Electric,487,USD
LSI,,,,0,
KBAL,,,,0,USD
CATM,,,,0,
TZOO,United States,Communication Services,Advertising Agencies,1234,USD
NVRO,United States,Healthcare,Medical Devices,1064,USD
KLXI,,,,0,
STNG,Monaco,Energy,Oil & Gas Midstream,428,USD
FTS,Canada,Utilities,Utilities—Regulated Electric,2001,USD
UMPQ,,,,0,
IMMR,United States,Technology,Software—Application,594,USD
WG,,,,0,
NTRA,United States,Healthcare,Diagnostics & Research,1880,USD
RTO,United Kingdom,Industrials,Specialty Business Services,1084,USD
NEP,United States,Utilities,Utilities—Renewable,376,USD
FEAM,United States,Basic Materials,Specialty Chemicals,466,USD
REXX,,,,0,
XPER,United States,Technology,Software—Application,1434,USD
TMST,,,,0,
HALL,United States,Financial Services,Insurance—Property & Casualty,919,USD
NIU,China,Consumer Cyclical,Auto Manufacturers,1319,USD
GETY,United States,Communication Services,Internet Content & Information,1261,USD
MCF,,,,0,
NTN,,,,0,
AMTB,United States,Financial Services,Banks—Regional,1633,USD
EIG,United States,Financial Services,Insurance—Specialty,652,USD
BJRI,United States,Consumer Cyclical,Restaurants,456,USD
SLE,United States,Communication Services,Internet Content & Information,1358,USD
PSNL,United States,Healthcare,Diagnostics & Research,1727,USD
CHCT,United States,Real Estate,REIT—Healthcare Facilities,974,USD
ATHA,United States,Healthcare,Biotechnology,1527,USD
WYNN,United States,Consumer Cyclical,Resorts & Casinos,1539,USD
SASR,United States,Financial Services,Banks—Regional,735,USD
ETH,,,,0,
TM,Japan,Consumer Cyclical,Auto Manufacturers,939,USD
BX,United States,Financial Services,Asset Management,2124,USD
DLPN,United States,Communication Services,Advertising Agencies,1286,USD
APGE,United States,Healthcare,Biotechnology,678,USD
GSS,Canada,,,305,USD
CME,United States,Financial Services,Financial Data & Stock Exchanges,1075,USD
AGI,Canada,Basic Materials,Gold,549,USD
DOMA,United States,Financial Services,Insurance—Property & Casualty,760,USD
MBWM,United States,Financial Services,Banks—Regional,1214,USD
VWR,,,,0,
MDGL,United States,Healthcare,Biotechnology,416,USD
AAU,,,,0,
LFMD,United States,Healthcare,Health Information Services,1971,USD
INMD,Israel,Healthcare,Medical Devices,1181,USD
ANET,United States,Technology,Computer Hardware,1731,USD
RUTH,,,,0,
TW,United States,Financial Services,Capital Markets,1152,USD
PL,United States,Industrials,Aerospace & Defense,561,USD
TVPT,,,,0,
DHT,Bermuda,Energy,Oil & Gas Midstream,330,USD
SCL,United States,Basic Materials,Specialty Chemicals,1608,USD
PRCP,,,,0,
DTM,United States,Energy,Oil & Gas Midstream,1067,USD
LPG,United States,Energy,Oil & Gas Midstream,282,USD
VERB,United States,Technology,Software—Application,1061,USD
PX,United States,Financial Services,Asset Management,834,USD
ABCD,,,,0,
STGW,United States,Communication Services,Advertising Agencies,1870,USD
BERY,United States,Consumer Cyclical,Packaging & Containers,1261,USD
IMGN,,,,0,
YQ,China,Consumer Defensive,Education & Training Services,695,USD
EVBG,United States,Technology,Software—Application,1194,USD
STIX,,,,0,
BOOM,United States,Energy,Oil & Gas Equipment & Services,1977,USD
MGNI,United States,Communication Services,Advertising Agencies,911,USD
HRMY,United States,Healthcare,Biotechnology,715,USD
NSH,,,,0,
TGTX,United States,Healthcare,Biotechnology,1533,USD
CPB,United States,Consumer Defensive,Packaged Foods,1440,USD
REI,United States,Energy,Oil & Gas E&P,744,USD
BRP,United States,Financial Services,Insurance Brokers,1249,USD
SAH,United States,Consumer Cyclical,Auto & Truck Dealerships,942,USD
ONEM,,,,0,
ACCD,United States,Healthcare,Health Information Services,1153,USD
SJM,United States,Consumer Defensive,Packaged Foods,1216,USD
ETD,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1120,USD
ASR,Mexico,Industrials,Airports & Air Services,1254,USD
BRFH,United States,Consumer Defensive,Beverages—Non-Alcoholic,377,USD
TXG,United States,Healthcare,Health Information Services,1424,USD
